node_id,name,lat,lon,type,capacity,cost_per_day
0,HCM City,1205836.641,696169.6512,normal,0.0,500
1,Cảng Long An,1164314.06,689133.097,normal,1500000.0,500
2,Cảng Nhơn Đức,1162726.557,680798.7053,normal,500000.0,500
3,Cửa Khẩu Mộc bài Tây Ninh,1225163.0,629196.0,normal,2500000.0,500
4,Cửa Khẩu Bình Hiệp,1198203.0,601711.0,normal,1250000.0,500
5,Cửa Khẩu Đinh Ba,1212199.0,546559.0,normal,1250000.0,500
6,Cảng Mỹ Thới Tiền Giang,1144867.146,644286.1323,hub,500000.0,1000
7,Hub RachMieu,1139094.592,648232.9463,hub,0.0,1000
8,Cảng Hàm Luông,1127801.487,647858.0144,normal,1500000.0,500
9,Cảng Vĩnh Thái,1131373.369,608567.3108,normal,500000.0,500
10,Hub Cảng Cao Lãnh - Cảng Sa Đéc,1142705.343,584065.8715,hub,500000.0,1000
11,Hub Cao Lãnh - Cảng Trần quốc toản,1156073.567,567605.1696,hub,0.0,1000
12,Cảng Vĩnh Xương - Tân Châu,1206328.0,519551.0,hub,500000.0,1000
13,Cảng Hub Mỹ Thanh - An giang Mỹ thới,1141123.0,553162.0001,hub,500000.0,1000
14,Kho Cảng Cần thơ,1116688.965,574039.1168,hub,500000.0,1000
15,Kho Cảng Trung tâm vùng C_n th_,1108451.0,584427.0,hub,0.0,1000
16,Cảng Đại Ngải,1077795.137,615314.1993,hub,0.0,1000
17,Cảng Địnhnh An,1062523.893,640950.5659,hub,0.0,1000
18,Hub Sóc trăng - Cảng Trà nóc,1051151.527,626520.3612,hub,0.0,1000
19,Cửa Khẩu Tinh Biên - Kho cửa khẩu An giang,1170506.0,493946.0,hub,0.0,1000
20,Cửa khẩu Giang Thanh,1164145.0,455460.0,normal,0.0,500
21,Cửa Khẩu Hà Tiên - Hub Hà Tiên,1152397.0,440361.0,hub,0.0,1000
22,Cảng Hòn Chông,1121285.333,456784.2157,hub,0.0,1000
23,Hub Linh Huynh,1128155.618,488970.3972,hub,0.0,1000
24,Hub Vam Rang,1121070.756,499643.2221,hub,0.0,1000
25,Kho Cảng Rạch Giá Kiên giang,1106560.846,508942.5119,hub,0.0,1000
26,Kho lạnh Rạch giá - Hub Cảng Tắc cậu,1094295.216,513987.9996,hub,0.0,1000
27,Hub Vĩ Thanh,1077265.363,555739.9999,hub,0.0,1000
28,Cảng Hộ Phòng,1016988.448,581418.4404,hub,0.0,1000
29,Cảng Giành Hào,996506.4955,545828.5073,hub,0.0,1000
30,Hub Cà Mau,1014503.125,516664.0085,hub,0.0,1000
31,Cảng Hòn Khoai - Kho nông nghiệp Cà Mau - Cảng Cà Mau,1006705.0,514477.0,normal,830000.0,500
32,Cảng Ông Đốc,997229.3507,478788.9263,hub,0.0,1000
33,Hub Năm căn,965682.8561,497724.2026,hub,0.0,1000
34,Cảng Phú Quốc,1129657.576,385658.7163,hub,0.0,1000
35,Cảng vịnh Đầm,1114057.544,393780.3645,hub,0.0,1000
36,Cảng Duyên hải,1064301.36,670479.9347,normal,4000000.0,500
37,Cảng Bình Minh,1110735.828,591898.5275,normal,1500000.0,500
38,Cảng Bình Long,1169473.445,527207.7731,normal,2900000.0,500
39,Cảng Hồng Ngự,1195270.372,536732.7922,normal,300000.0,500
40,Cảng Bình Trị,1135342.127,453785.7513,normal,1500000.0,500
41,Cảng Thổ Chu,1028953.882,302713.8529,hub,0.0,1000
42,Cảng hòn khoai,931347.9689,481963.9326,normal,200000.0,500
43,,1210805.483,509148.8464,normal,0.0,500
44,,1178183.615,505030.9525,normal,0.0,500
45,,1176006.452,630168.7935,normal,0.0,500
46,,1181008.016,669680.6996,normal,0.0,500
47,,1165615.085,655572.2723,normal,0.0,500
48,,1154570.658,643209.4848,normal,0.0,500
49,,1173332.405,616597.4288,normal,0.0,500
50,,1137327.928,621620.6474,normal,0.0,500
51,,1135958.413,600096.1175,normal,0.0,500
52,,1126641.08,596058.5775,normal,0.0,500
53,,1184029.49,513869.5289,normal,0.0,500
54,,1131973.58,546829.4279,normal,0.0,500
55,,1103899.861,589572.7251,normal,0.0,500
56,,1098653.136,586972.7075,normal,0.0,500
57,,1083665.873,591050.3986,normal,0.0,500
58,,1120202.363,645806.1469,normal,0.0,500
59,,1097249.413,646990.7258,normal,0.0,500
60,,1090313.652,642194.6416,normal,0.0,500
61,,1083751.752,629473.5284,normal,0.0,500
62,,1073426.273,627294.8661,normal,0.0,500
63,,1062343.55,607343.4281,normal,0.0,500
64,,1042580.532,582093.7935,normal,0.0,500
65,,1106757.256,519884.4987,normal,0.0,500
66,,1105619.778,521572.9009,normal,0.0,500
67,,1027151.534,580217.3546,normal,0.0,500
68,,1051466.616,528417.3864,normal,0.0,500
69,,1133211.225,546230.8754,normal,0.0,500
70,,1056381.004,567792.3844,normal,0.0,500
71,,1048548.704,559399.4222,normal,0.0,500
72,,1077591.396,501298.5426,normal,0.0,500
73,,1069009.604,621677.6474,normal,0.0,500
74,,1077723.612,545211.1285,normal,0.0,500
75,,1167395.309,676027.8647,normal,0.0,500
